Player,Pos,Age,Tm,G,PTS,AST,TRB,STL,BLK,TOV,FG%,3P%,FT%,MP,Cluster,Archetype,Distance_to_Centroid
Precious Achiuwa,PF-C,24,TOT,74,7.6,1.3,6.6,0.6,0.9,1.1,0.501,0.268,0.616,21.9,4,Rebounding Forwards / Bigs,2.111609196737575
Bam Adebayo,C,26,MIA,71,19.3,3.9,10.4,1.1,0.9,2.3,0.521,0.357,0.755,34.0,3,All-Around Stars,2.2539541124920075
Ochai Agbaji,SG,23,TOT,78,5.8,1.1,2.8,0.6,0.6,0.8,0.411,0.294,0.661,21.0,2,Bench Guards / Wings,1.326956609421172
Santi Aldama,PF,23,MEM,61,10.7,2.3,5.8,0.7,0.9,1.1,0.435,0.349,0.621,26.5,4,Rebounding Forwards / Bigs,1.8452967458919252
Nickeil Alexander-Walker,SG,25,MIN,82,8.0,2.5,2.0,0.8,0.5,0.9,0.439,0.391,0.8,23.4,5,Two-Way Rotation Wings,0.942725350376525
Grayson Allen,SG,28,PHO,75,13.5,3.0,3.9,0.9,0.6,1.3,0.499,0.461,0.878,33.5,0,Playmaking Scorers,2.0262771050501516
Jarrett Allen,C,25,CLE,77,16.5,2.7,10.5,0.7,1.1,1.6,0.634,0.0,0.742,31.7,8,Interior Centers,1.8424083299474123
Jose Alvarado,PG,25,NOP,56,7.1,2.1,2.3,1.1,0.3,0.7,0.412,0.377,0.673,18.4,5,Two-Way Rotation Wings,1.7794936971241495
Kyle Anderson,PF,30,MIN,79,6.4,4.2,3.5,0.9,0.6,1.2,0.46,0.229,0.708,22.6,5,Two-Way Rotation Wings,1.8346148357898435
Giannis Antetokounmpo,PF,29,MIL,73,30.4,6.5,11.5,1.2,1.1,3.4,0.611,0.274,0.657,35.2,3,All-Around Stars,2.985148000514605
Cole Anthony,PG,23,ORL,81,11.6,2.9,3.8,0.8,0.5,1.6,0.435,0.338,0.826,22.4,5,Two-Way Rotation Wings,1.1053494216490218
OG Anunoby,SF,26,TOT,50,14.7,2.1,4.2,1.4,0.7,1.6,0.489,0.382,0.753,34.0,5,Two-Way Rotation Wings,2.292445123422789
Deni Avdija,SF,23,WAS,75,14.7,3.8,7.2,0.8,0.5,2.1,0.506,0.374,0.74,30.1,4,Rebounding Forwards / Bigs,1.3140099658422806
Deandre Ayton,C,25,POR,55,16.7,1.6,11.1,1.0,0.8,1.8,0.57,0.1,0.823,32.4,8,Interior Centers,3.120159059802232
Ibou Badji,C,21,POR,22,1.5,0.6,2.3,0.1,0.9,0.7,0.636,0.0,0.5,10.3,1,Low-Usage Interior Finishers,2.092553593142974
Marvin Bagley III,C,24,TOT,50,11.7,1.1,6.2,0.4,0.7,1.2,0.586,0.391,0.762,21.1,4,Rebounding Forwards / Bigs,2.033083239278421
Patrick Baldwin Jr.,SF,21,WAS,38,4.4,0.8,3.2,0.5,0.4,0.5,0.381,0.32,0.679,13.0,2,Bench Guards / Wings,1.169485463699678
LaMelo Ball,PG,22,CHO,22,23.9,8.0,5.1,1.8,0.2,3.8,0.433,0.355,0.865,32.3,3,All-Around Stars,2.8881193483841257
Mo Bamba,C,25,PHI,57,4.4,0.7,4.2,0.4,1.1,0.7,0.49,0.391,0.68,13.0,2,Bench Guards / Wings,1.9514409318899055
Paolo Banchero,PF,21,ORL,80,22.6,5.4,6.9,0.9,0.6,3.1,0.455,0.339,0.725,35.0,3,All-Around Stars,1.6477542416152438
Desmond Bane,SG,25,MEM,42,23.7,5.5,4.4,1.0,0.5,2.7,0.464,0.381,0.87,34.4,0,Playmaking Scorers,1.2219301965012577
Dalano Banton,PG,24,TOT,54,10.3,2.4,3.3,0.6,0.4,1.4,0.404,0.296,0.783,19.4,5,Two-Way Rotation Wings,1.4738209174240844
Dominick Barlow,PF,20,SAS,33,4.4,1.1,3.4,0.4,0.4,0.3,0.496,0.333,0.69,12.7,2,Bench Guards / Wings,0.8442752103859286
Harrison Barnes,PF,31,SAC,82,12.2,1.2,3.0,0.7,0.1,0.7,0.474,0.387,0.801,29.0,5,Two-Way Rotation Wings,1.4129197357531011
Scottie Barnes,SG,22,TOR,60,19.9,6.1,8.2,1.3,1.5,2.8,0.475,0.341,0.781,34.9,3,All-Around Stars,2.0841670447525993
RJ Barrett,SG,23,TOT,58,20.2,3.3,5.4,0.5,0.4,2.2,0.495,0.36,0.715,31.7,4,Rebounding Forwards / Bigs,2.087855706873107
Keita Bates-Diop,SF,28,TOT,53,3.7,0.7,2.1,0.5,0.4,0.3,0.434,0.304,0.762,12.5,2,Bench Guards / Wings,1.1509434073808313
Nicolas Batum,PF,35,TOT,60,5.3,2.1,4.1,0.8,0.6,0.7,0.453,0.395,0.714,25.5,5,Two-Way Rotation Wings,1.217359041569867
Bradley Beal,SG,30,PHO,53,18.2,5.0,4.4,1.0,0.5,2.5,0.513,0.43,0.813,33.3,0,Playmaking Scorers,1.1475224267916622
Malik Beasley,SG,27,MIL,79,11.3,1.4,3.7,0.7,0.1,0.7,0.443,0.413,0.714,29.6,5,Two-Way Rotation Wings,1.4672966461198675
MarJon Beauchamp,SF,23,MIL,48,4.4,0.6,2.1,0.3,0.1,0.6,0.488,0.4,0.679,12.7,2,Bench Guards / Wings,1.1186985047659628
D?vis Bert?ns,PF,31,TOT,43,6.7,0.8,1.4,0.6,0.3,0.4,0.393,0.38,0.909,15.7,7,Low-Usage Perimeter Players,1.092698532565124
Patrick Beverley,PG,35,TOT,73,6.2,2.9,3.3,0.6,0.4,0.9,0.417,0.337,0.822,20.0,7,Low-Usage Perimeter Players,1.2844004510956115
Saddiq Bey,SF,24,ATL,63,13.7,1.5,6.5,0.8,0.2,0.9,0.416,0.316,0.837,32.7,5,Two-Way Rotation Wings,2.0729042373280677
Goga Bitadze,C,24,ORL,62,5.0,1.3,4.6,0.5,1.2,0.7,0.603,0.143,0.655,15.4,1,Low-Usage Interior Finishers,1.6165857600051952
Onuralp Bitim,SG,24,CHI,23,3.5,0.6,1.4,0.1,0.1,0.4,0.381,0.273,0.8,11.7,7,Low-Usage Perimeter Players,1.6617553682751125
